Frequency,hp
1,2.33021*10^14
2,1.26655*10^-8
3,1.40563*10^-18
4,9.90002*10^-22
5,1.45183*10^-22
6,1.6783*10^-22
7,3.47681*10^-22
8,2.39728*10^-22
9,2.71329*10^-22
10,2.05828*10^-22
11,4.82976*10^-23
12,1.48971*10^-22
13,1.69072*10^-22
14,4.96704*10^-23
15,1.41945*10^-22
16,1.19093*10^-22
17,1.30757*10^-22
18,6.27333*10^-23
19,9.63794*10^-23
20,8.71178*10^-23
21,6.04787*10^-23
22,7.57935*10^-23
23,4.84458*10^-23
24,7.36077*10^-23
25,7.12951*10^-23
26,6.1661*10^-23
27,5.96282*10^-23
28,5.31877*10^-23
29,5.47527*10^-23
30,3.41668*10^-23
31,5.05697*10^-23
32,4.45971*10^-23
33,3.03834*10^-23
34,4.76235*10^-23
35,3.14251*10^-23
36,3.12696*10^-23
37,2.39672*10^-23
38,3.76133*10^-23
39,3.65638*10^-23
40,3.20837*10^-23
41,3.68077*10^-23
42,2.84519*10^-23
43,2.61244*10^-23
44,3.01524*10^-23
45,2.47504*10^-23
46,3.28687*10^-23
47,2.89242*10^-23
48,2.31752*10^-23
49,2.7297*10^-23
50,2.03697*10^-23
51,2.58663*10^-23
52,2.33462*10^-23
53,2.42111*10^-23
54,2.18307*10^-23
55,2.56022*10^-23
56,1.83581*10^-23
57,2.13167*10^-23
58,2.31099*10^-23
59,2.26698*10^-23
60,1.77577*10^-23
61,2.15264*10^-23
62,1.30103*10^-23
63,2.09388*10^-23
64,2.18496*10^-23
65,1.87519*10^-23
66,1.85364*10^-23
67,1.62336*10^-23
68,1.52085*10^-23
69,1.57506*10^-23
70,1.80566*10^-23
71,1.93064*10^-23
72,1.95544*10^-23
73,1.56804*10^-23
74,1.35016*10^-23
75,1.4718*10^-23
76,1.52822*10^-23
77,1.30532*10^-23
78,1.2748*10^-23
79,1.46106*10^-23
80,1.75857*10^-23
81,1.82573*10^-23
82,1.54937*10^-23
83,1.20753*10^-23
84,1.16792*10^-23
85,1.2861*10^-23
86,1.29716*10^-23
87,1.24338*10^-23
88,1.07267*10^-23
89,1.02666*10^-23
90,1.18152*10^-23
91,1.29367*10^-23
92,1.30008*10^-23
93,1.31717*10^-23
94,1.40569*10^-23
95,1.32241*10^-23
96,1.30322*10^-23
97,1.12899*10^-23
98,1.05323*10^-23
99,9.29754*10^-24
100,8.70759*10^-24
110,1.05922*10^-23
120,8.12535*10^-24
130,7.38622*10^-24
140,7.55694*10^-24
150,6.58245*10^-24
160,5.94345*10^-24
170,5.32522*10^-24
180,4.83808*10^-24
190,4.82348*10^-24
200,4.76581*10^-24
210,4.24832*10^-24
220,2.75401*10^-25
230,2.34759*10^-25
240,1.03485*10^-25
250,1.93442*10^-25
260,2.48108*10^-25
270,2.12531*10^-25
280,1.72773*10^-25
290,1.6756*10^-25
300,1.63623*10^-25
310,1.61035*10^-25
320,1.5944*10^-25
330,1.58295*10^-25
340,1.57188*10^-25
350,1.55872*10^-25
360,1.54483*10^-25
370,1.52875*10^-25
380,1.511*10^-25
390,1.48524*10^-25
400,1.46626*10^-25
410,1.44717*10^-25
420,1.42826*10^-25
430,1.4097*10^-25
440,1.56748*10^-27
450,1.49777*10^-27
460,1.43186*10^-27
470,1.36954*10^-27
480,1.31061*10^-27
490,1.25488*10^-27
500,7.9877*10^-30
510,7.42975*10^-30
520,6.91702*10^-30
530,6.44534*10^-30
540,6.01103*10^-30
550,5.61077*10^-30
560,2.65251*10^-32
570,2.41458*10^-32
580,2.20038*10^-32
590,2.0073*10^-32
600,1.83306*10^-32
610,1.67563*10^-32
620,1.53326*10^-32
630,5.78705*10^-35
640,5.18221*10^-35
650,4.64585*10^-35
660,4.16963*10^-35
670,3.74631*10^-35
680,3.36957*10^-35
690,1.09233*10^-37
700,9.64039*10^-38
710,8.51808*10^-38
720,7.53501*10^-38
730,6.67286*10^-38
740,5.91588*10^-38
750,5.25046*10^-38
760,1.47521*10^-40
770,1.28731*10^-40
780,1.12466*10^-40
790,9.83697*10^-41
800,8.61375*10^-41
810,7.55105*10^-41
820,6.6267*10^-41
830,0
840,0
850,0
860,0
870,0
880,0
890,0
900,0
910,0
920,0
930,0
940,0
950,0
960,0
970,0
980,0
990,0
1000,0
