frequency,plus,cross
0.0,0j,0j
0.5,0j,0j
1.0,0j,0j
1.5,0j,0j
2.0,0j,0j
2.5,0j,0j
3.0,0j,0j
3.5,0j,0j
4.0,0j,0j
4.5,0j,0j
5.0,0j,0j
5.5,0j,0j
6.0,0j,0j
6.5,0j,0j
7.0,0j,0j
7.5,0j,0j
8.0,0j,0j
8.5,0j,0j
9.0,0j,0j
9.5,0j,0j
10.0,0j,0j
10.5,0j,0j
11.0,0j,0j
11.5,0j,0j
12.0,0j,0j
12.5,0j,0j
13.0,0j,0j
13.5,0j,0j
14.0,0j,0j
14.5,0j,0j
15.0,0j,0j
15.5,0j,0j
16.0,0j,0j
16.5,0j,0j
17.0,0j,0j
17.5,0j,0j
18.0,0j,0j
18.5,0j,0j
19.0,0j,0j
19.5,0j,0j
20.0,(9.23135117614819e-23+7.764632095929197e-24j),(-7.844767009633612e-24+9.193921801443892e-23j)
20.5,(2.2315317798408812e-23+3.399716260667671e-23j),(-3.37996390456006e-23+2.230443192070362e-23j)
21.0,(-3.591994734355665e-23+7.717659969085527e-23j),(-7.691104781274687e-23-3.577749001357175e-23j)
21.5,(-4.6826075513755344e-23-1.3473333266373965e-23j),(1.3405917937708954e-23-4.668504730422154e-23j)
22.0,(2.3759601862370102e-23-8.941387920528643e-23j),(8.914226752322334e-23+2.368839251137347e-23j)
22.5,(5.15066795574788e-23-9.679136710571995e-24j),(9.630172801717674e-24+5.134101068980719e-23j)
23.0,(-2.5524437184478458e-23+4.8205660710363583e-23j),(-4.803678924908328e-23-2.5447162133511316e-23j)
23.5,(-6.710774552367048e-23-1.878352760081948e-24j),(1.8633203887749478e-24-6.688187737051319e-23j)
24.0,(8.267337153378654e-24-3.6530641154280035e-23j),(3.6418941815063904e-23+8.234445653290865e-24j)
24.5,(3.488653991749171e-23+5.394539651734014e-23j),(-5.377883696505006e-23+3.4778966120066293e-23j)
25.0,(-6.522525640769854e-23+3.879257501187353e-23j),(-3.865719338854181e-23-6.501990403538671e-23j)
25.5,(-1.932425210644999e-24-4.9014122601856404e-23j),(4.884468584918039e-23-1.9183339910835346e-24j)
26.0,(2.730883874605685e-23+4.211821435487109e-23j),(-4.197319231380165e-23+2.720823531526448e-23j)
26.5,(-5.838672993322047e-23+1.3181748938588263e-23j),(-1.3142280823757773e-23-5.818407989006679e-23j)
27.0,(-1.1541612901992921e-24-5.604401223609696e-23j),(5.586207070631164e-23-1.1623407634786929e-24j)
