
0it [00:00, ?it/s]
1it [06:02, 362.90s/it, bound:0 nc:  1 ncall:5.0e+02 eff:0.2% logz-ratio=-410.62+/-0.17 dlogz:inf>0.1]
17it [06:04, 254.06s/it, bound:0 nc:  2 ncall:5.2e+02 eff:3.3% logz-ratio=-348.99+/-0.16 dlogz:515.438>0.1]
32it [06:05, 177.87s/it, bound:0 nc:  1 ncall:5.3e+02 eff:6.0% logz-ratio=-331.09+/-0.14 dlogz:496.039>0.1]
47it [06:07, 124.54s/it, bound:0 nc:  1 ncall:5.5e+02 eff:8.6% logz-ratio=-310.78+/-0.15 dlogz:475.842>0.1]
63it [06:08, 87.20s/it, bound:0 nc:  1 ncall:5.6e+02 eff:11.2% logz-ratio=-298.71+/-0.14 dlogz:463.447>0.1]
75it [06:09, 61.08s/it, bound:0 nc:  1 ncall:5.8e+02 eff:12.9% logz-ratio=-290.87+/-0.14 dlogz:455.721>0.1]
90it [06:11, 42.78s/it, bound:0 nc:  1 ncall:6.0e+02 eff:15.1% logz-ratio=-280.81+/-0.13 dlogz:445.172>0.1]
103it [06:12, 29.98s/it, bound:0 nc:  1 ncall:6.1e+02 eff:16.8% logz-ratio=-262.73+/-0.16 dlogz:428.484>0.1]
114it [06:14, 21.03s/it, bound:0 nc:  1 ncall:6.3e+02 eff:18.1% logz-ratio=-244.43+/-0.16 dlogz:410.304>0.1]
125it [06:15, 14.76s/it, bound:0 nc:  3 ncall:6.4e+02 eff:19.4% logz-ratio=-235.18+/-0.15 dlogz:400.120>0.1]
138it [06:16, 10.36s/it, bound:0 nc:  1 ncall:6.6e+02 eff:20.9% logz-ratio=-225.86+/-0.15 dlogz:390.768>0.1]
150it [06:18,  7.29s/it, bound:0 nc:  2 ncall:6.8e+02 eff:22.2% logz-ratio=-220.27+/-0.13 dlogz:384.513>0.1]
163it [06:19,  5.13s/it, bound:0 nc:  1 ncall:6.9e+02 eff:23.5% logz-ratio=-213.95+/-0.14 dlogz:378.534>0.1]
176it [06:21,  3.63s/it, bound:0 nc:  1 ncall:7.1e+02 eff:24.8% logz-ratio=-204.80+/-0.14 dlogz:369.093>0.1]
189it [06:22,  2.57s/it, bound:0 nc:  3 ncall:7.3e+02 eff:26.0% logz-ratio=-197.23+/-0.14 dlogz:361.541>0.1]
198it [06:23,  1.84s/it, bound:0 nc:  2 ncall:7.4e+02 eff:26.7% logz-ratio=-193.14+/-0.14 dlogz:357.313>0.1]
207it [06:25,  1.34s/it, bound:0 nc:  1 ncall:7.6e+02 eff:27.3% logz-ratio=-188.18+/-0.15 dlogz:352.552>0.1]
214it [06:26,  1.01it/s, bound:0 nc:  6 ncall:7.7e+02 eff:27.7% logz-ratio=-182.47+/-0.16 dlogz:347.795>0.1]
222it [06:27,  1.34it/s, bound:0 nc:  6 ncall:7.9e+02 eff:28.0% logz-ratio=-178.13+/-0.14 dlogz:342.144>0.1]
234it [06:29,  1.81it/s, bound:0 nc:  1 ncall:8.0e+02 eff:29.1% logz-ratio=-170.97+/-0.15 dlogz:335.159>0.1]
244it [06:30,  2.35it/s, bound:0 nc:  2 ncall:8.2e+02 eff:29.7% logz-ratio=-165.46+/-0.14 dlogz:329.827>0.1]
251it [06:31,  2.80it/s, bound:0 nc:  1 ncall:8.4e+02 eff:30.0% logz-ratio=-161.41+/-0.14 dlogz:325.387>0.1]
