
0it [00:00, ?it/s]
1it [05:18, 318.31s/it, bound:0 nc:  2 ncall:5.0e+02 eff:0.2% logz-ratio=123.00+/-0.17 dlogz:inf>0.1]
8it [05:19, 222.85s/it, bound:0 nc:  1 ncall:5.1e+02 eff:1.6% logz-ratio=128.62+/-0.14 dlogz:25.092>0.1]
16it [05:19, 156.02s/it, bound:0 nc:  1 ncall:5.2e+02 eff:3.1% logz-ratio=132.21+/-0.13 dlogz:21.365>0.1]
24it [05:20, 109.24s/it, bound:0 nc:  1 ncall:5.2e+02 eff:4.6% logz-ratio=135.87+/-0.13 dlogz:17.684>0.1]
32it [05:21, 76.50s/it, bound:0 nc:  2 ncall:5.3e+02 eff:6.0% logz-ratio=139.32+/-0.13 dlogz:14.274>0.1] 
38it [05:22, 53.59s/it, bound:0 nc:  1 ncall:5.4e+02 eff:7.0% logz-ratio=141.31+/-0.13 dlogz:12.167>0.1]
46it [05:22, 37.54s/it, bound:0 nc:  1 ncall:5.5e+02 eff:8.4% logz-ratio=143.83+/-0.13 dlogz:9.471>0.1] 
54it [05:23, 26.31s/it, bound:0 nc:  1 ncall:5.6e+02 eff:9.7% logz-ratio=145.30+/-0.12 dlogz:7.931>0.1]
60it [05:24, 18.46s/it, bound:0 nc:  1 ncall:5.6e+02 eff:10.6% logz-ratio=145.86+/-0.12 dlogz:7.293>0.1]
67it [05:25, 12.96s/it, bound:0 nc:  1 ncall:5.7e+02 eff:11.7% logz-ratio=146.27+/-0.11 dlogz:6.850>0.1]
75it [05:26,  9.10s/it, bound:0 nc:  1 ncall:5.8e+02 eff:12.9% logz-ratio=146.58+/-0.11 dlogz:6.502>0.1]
82it [05:27,  6.41s/it, bound:0 nc:  3 ncall:5.9e+02 eff:13.9% logz-ratio=146.80+/-0.10 dlogz:6.271>0.1]
88it [05:28,  4.53s/it, bound:0 nc:  1 ncall:6.0e+02 eff:14.7% logz-ratio=146.95+/-0.10 dlogz:6.105>0.1]
95it [05:29,  3.21s/it, bound:0 nc:  1 ncall:6.0e+02 eff:15.7% logz-ratio=147.09+/-0.10 dlogz:5.940>0.1]
102it [05:29,  2.29s/it, bound:0 nc:  1 ncall:6.1e+02 eff:16.6% logz-ratio=147.22+/-0.10 dlogz:5.796>0.1]
109it [05:30,  1.64s/it, bound:0 nc:  1 ncall:6.2e+02 eff:17.6% logz-ratio=147.33+/-0.09 dlogz:5.668>0.1]
117it [05:31,  1.19s/it, bound:0 nc:  1 ncall:6.3e+02 eff:18.6% logz-ratio=147.45+/-0.09 dlogz:5.538>0.1]
123it [05:32,  1.14it/s, bound:0 nc:  1 ncall:6.4e+02 eff:19.3% logz-ratio=147.52+/-0.09 dlogz:5.450>0.1]
129it [05:33,  1.52it/s, bound:0 nc:  2 ncall:6.4e+02 eff:20.0% logz-ratio=147.59+/-0.09 dlogz:5.367>0.1]
136it [05:34,  2.01it/s, bound:0 nc:  2 ncall:6.5e+02 eff:20.8% logz-ratio=147.67+/-0.09 dlogz:5.278>0.1]
143it [05:35,  2.56it/s, bound:0 nc:  1 ncall:6.6e+02 eff:21.6% logz-ratio=147.74+/-0.08 dlogz:5.194>0.1]
146it [05:36,  2.71it/s, bound:0 nc:  5 ncall:6.7e+02 eff:21.8% logz-ratio=147.76+/-0.08 dlogz:5.160>0.1]
152it [05:37,  3.32it/s, bound:0 nc:  3 ncall:6.8e+02 eff:22.5% logz-ratio=147.82+/-0.08 dlogz:5.095>0.1]
156it [05:38,  3.61it/s, bound:0 nc:  1 ncall:6.8e+02 eff:22.8% logz-ratio=147.85+/-0.08 dlogz:5.053>0.1]
163it [05:39,  4.22it/s, bound:0 nc:  1 ncall:6.9e+02 eff:23.5% logz-ratio=147.91+/-0.08 dlogz:4.983>0.1]
170it [05:40,  4.87it/s, bound:0 nc:  1 ncall:7.0e+02 eff:24.3% logz-ratio=147.96+/-0.08 dlogz:4.917>0.1]
176it [05:41,  5.33it/s, bound:0 nc:  1 ncall:7.1e+02 eff:24.8% logz-ratio=148.00+/-0.08 dlogz:4.863>0.1]
182it [05:41,  5.67it/s, bound:0 nc:  3 ncall:7.2e+02 eff:25.3% logz-ratio=148.04+/-0.08 dlogz:4.810>0.1]
189it [05:42,  6.10it/s, bound:0 nc:  2 ncall:7.3e+02 eff:26.0% logz-ratio=148.09+/-0.08 dlogz:4.752>0.1]
196it [05:43,  6.50it/s, bound:0 nc:  1 ncall:7.3e+02 eff:26.7% logz-ratio=148.13+/-0.08 dlogz:4.696>0.1]
202it [05:44,  6.34it/s, bound:0 nc:  1 ncall:7.4e+02 eff:27.3% logz-ratio=148.16+/-0.07 dlogz:4.650>0.1]
207it [05:45,  6.03it/s, bound:0 nc:  5 ncall:7.5e+02 eff:27.6% logz-ratio=148.19+/-0.07 dlogz:4.612>0.1]
211it [05:46,  5.14it/s, bound:0 nc:  3 ncall:7.6e+02 eff:27.8% logz-ratio=148.21+/-0.07 dlogz:4.583>0.1]
216it [05:47,  5.30it/s, bound:0 nc:  2 ncall:7.7e+02 eff:28.2% logz-ratio=148.24+/-0.07 dlogz:4.547>0.1]
221it [05:48,  5.30it/s, bound:0 nc:  1 ncall:7.7e+02 eff:28.6% logz-ratio=148.26+/-0.07 dlogz:4.512>0.1]
225it [05:49,  4.90it/s, bound:0 nc:  1 ncall:7.8e+02 eff:28.8% logz-ratio=148.28+/-0.07 dlogz:4.485>0.1]
229it [05:50,  4.60it/s, bound:0 nc:  3 ncall:7.9e+02 eff:29.0% logz-ratio=148.30+/-0.07 dlogz:4.458>0.1]
233it [05:51,  4.33it/s, bound:0 nc:  2 ncall:8.0e+02 eff:29.2% logz-ratio=148.32+/-0.07 dlogz:4.431>0.1]
239it [05:52,  4.82it/s, bound:0 nc:  3 ncall:8.0e+02 eff:29.7% logz-ratio=148.35+/-0.07 dlogz:4.392>0.1]
242it [05:53,  4.14it/s, bound:0 nc:  3 ncall:8.1e+02 eff:29.8% logz-ratio=148.36+/-0.07 dlogz:4.373>0.1]
247it [05:54,  4.44it/s, bound:0 nc:  3 ncall:8.2e+02 eff:30.1% logz-ratio=148.38+/-0.07 dlogz:4.342>0.1]
253it [05:55,  4.84it/s, bound:0 nc:  2 ncall:8.3e+02 eff:30.5% logz-ratio=148.41+/-0.07 dlogz:4.305>0.1]
257it [05:56,  4.48it/s, bound:0 nc:  2 ncall:8.4e+02 eff:30.7% logz-ratio=148.42+/-0.07 dlogz:4.281>0.1]
262it [05:57,  4.67it/s, bound:0 nc:  1 ncall:8.4e+02 eff:31.0% logz-ratio=148.44+/-0.07 dlogz:4.251>0.1]
267it [05:58,  4.69it/s, bound:0 nc:  2 ncall:8.5e+02 eff:31.3% logz-ratio=148.46+/-0.07 dlogz:4.222>0.1]
273it [05:59,  4.91it/s, bound:0 nc:  4 ncall:8.6e+02 eff:31.6% logz-ratio=148.49+/-0.07 dlogz:4.188>0.1]
276it [06:00,  4.31it/s, bound:0 nc:  2 ncall:8.7e+02 eff:31.8% logz-ratio=148.50+/-0.07 dlogz:4.171>0.1]
282it [06:01,  4.74it/s, bound:0 nc:  2 ncall:8.8e+02 eff:32.2% logz-ratio=148.52+/-0.06 dlogz:4.138>0.1]
287it [06:02,  4.86it/s, bound:0 nc:  8 ncall:8.9e+02 eff:32.3% logz-ratio=148.54+/-0.06 dlogz:4.110>0.1]
291it [06:03,  4.71it/s, bound:0 nc:  1 ncall:8.9e+02 eff:32.6% logz-ratio=148.55+/-0.06 dlogz:4.089>0.1]
297it [06:04,  5.11it/s, bound:0 nc:  1 ncall:9.0e+02 eff:33.0% logz-ratio=148.57+/-0.06 dlogz:4.056>0.1]
302it [06:05,  5.02it/s, bound:0 nc:  3 ncall:9.1e+02 eff:33.2% logz-ratio=148.59+/-0.06 dlogz:4.030>0.1]
306it [06:06,  4.78it/s, bound:0 nc:  4 ncall:9.2e+02 eff:33.3% logz-ratio=148.60+/-0.06 dlogz:4.009>0.1]
309it [06:07,  4.07it/s, bound:0 nc:  2 ncall:9.3e+02 eff:33.4% logz-ratio=148.61+/-0.06 dlogz:3.993>0.1]
312it [06:08,  3.55it/s, bound:0 nc:  1 ncall:9.3e+02 eff:33.4% logz-ratio=148.62+/-0.06 dlogz:3.978>0.1]
316it [06:09,  3.69it/s, bound:0 nc:  2 ncall:9.4e+02 eff:33.5% logz-ratio=148.63+/-0.06 dlogz:3.958>0.1]
320it [06:10,  3.84it/s, bound:0 nc:  2 ncall:9.5e+02 eff:33.7% logz-ratio=148.65+/-0.06 dlogz:3.937>0.1]
325it [06:11,  4.17it/s, bound:0 nc:  2 ncall:9.6e+02 eff:33.9% logz-ratio=148.66+/-0.06 dlogz:3.912>0.1]
329it [06:12,  4.04it/s, bound:0 nc:  5 ncall:9.7e+02 eff:34.0% logz-ratio=148.67+/-0.06 dlogz:3.893>0.1]
334it [06:13,  4.46it/s, bound:0 nc:  1 ncall:9.7e+02 eff:34.3% logz-ratio=148.69+/-0.06 dlogz:3.868>0.1]
