
0it [00:00, ?it/s]
1it [05:21, 321.85s/it, bound:0 nc:  1 ncall:5.0e+02 eff:0.2% logz-ratio=118.91+/-0.17 dlogz:inf>0.1]
9it [05:23, 225.34s/it, bound:0 nc:  1 ncall:5.1e+02 eff:1.8% logz-ratio=124.82+/-0.13 dlogz:21.631>0.1]
16it [05:24, 157.79s/it, bound:0 nc:  1 ncall:5.2e+02 eff:3.1% logz-ratio=127.67+/-0.13 dlogz:18.829>0.1]
24it [05:25, 110.50s/it, bound:0 nc:  1 ncall:5.2e+02 eff:4.6% logz-ratio=130.76+/-0.13 dlogz:15.706>0.1]
32it [05:26, 77.40s/it, bound:0 nc:  1 ncall:5.3e+02 eff:6.0% logz-ratio=133.71+/-0.13 dlogz:12.628>0.1] 
39it [05:27, 54.23s/it, bound:0 nc:  1 ncall:5.4e+02 eff:7.2% logz-ratio=136.04+/-0.13 dlogz:10.286>0.1]
45it [05:29, 38.01s/it, bound:0 nc:  2 ncall:5.5e+02 eff:8.2% logz-ratio=137.33+/-0.12 dlogz:8.922>0.1] 
53it [05:30, 26.66s/it, bound:0 nc:  1 ncall:5.6e+02 eff:9.5% logz-ratio=138.67+/-0.12 dlogz:7.489>0.1]
60it [05:31, 18.71s/it, bound:0 nc:  1 ncall:5.6e+02 eff:10.6% logz-ratio=139.56+/-0.12 dlogz:6.578>0.1]
68it [05:32, 13.14s/it, bound:0 nc:  1 ncall:5.7e+02 eff:11.9% logz-ratio=140.39+/-0.11 dlogz:5.706>0.1]
75it [05:33,  9.24s/it, bound:0 nc:  1 ncall:5.8e+02 eff:12.9% logz-ratio=141.04+/-0.11 dlogz:5.026>0.1]
83it [05:34,  6.51s/it, bound:0 nc:  1 ncall:5.9e+02 eff:14.1% logz-ratio=141.52+/-0.11 dlogz:4.510>0.1]
90it [05:35,  4.61s/it, bound:0 nc:  1 ncall:6.0e+02 eff:15.1% logz-ratio=141.80+/-0.10 dlogz:4.205>0.1]
97it [05:37,  3.28s/it, bound:0 nc:  2 ncall:6.1e+02 eff:16.0% logz-ratio=142.02+/-0.10 dlogz:3.970>0.1]
102it [05:38,  2.36s/it, bound:0 nc:  1 ncall:6.1e+02 eff:16.6% logz-ratio=142.15+/-0.10 dlogz:3.830>0.1]
110it [05:39,  1.70s/it, bound:0 nc:  1 ncall:6.2e+02 eff:17.7% logz-ratio=142.32+/-0.10 dlogz:3.638>0.1]
116it [05:40,  1.24s/it, bound:0 nc:  1 ncall:6.3e+02 eff:18.4% logz-ratio=142.44+/-0.09 dlogz:3.514>0.1]
121it [05:41,  1.06it/s, bound:0 nc:  4 ncall:6.4e+02 eff:19.0% logz-ratio=142.52+/-0.09 dlogz:3.421>0.1]
127it [05:42,  1.40it/s, bound:0 nc:  1 ncall:6.4e+02 eff:19.7% logz-ratio=142.61+/-0.09 dlogz:3.319>0.1]
132it [05:43,  1.76it/s, bound:0 nc:  1 ncall:6.5e+02 eff:20.2% logz-ratio=142.68+/-0.09 dlogz:3.241>0.1]
138it [05:45,  2.22it/s, bound:0 nc:  1 ncall:6.6e+02 eff:20.9% logz-ratio=142.76+/-0.09 dlogz:3.153>0.1]
146it [05:46,  2.80it/s, bound:0 nc:  1 ncall:6.7e+02 eff:21.8% logz-ratio=142.86+/-0.09 dlogz:3.047>0.1]
153it [05:47,  3.34it/s, bound:0 nc:  2 ncall:6.8e+02 eff:22.6% logz-ratio=142.93+/-0.09 dlogz:2.962>0.1]
159it [05:48,  3.77it/s, bound:0 nc:  1 ncall:6.8e+02 eff:23.2% logz-ratio=142.99+/-0.08 dlogz:2.893>0.1]
164it [05:49,  3.96it/s, bound:0 nc:  1 ncall:6.9e+02 eff:23.7% logz-ratio=143.04+/-0.08 dlogz:2.839>0.1]
172it [05:50,  4.55it/s, bound:0 nc:  1 ncall:7.0e+02 eff:24.5% logz-ratio=143.11+/-0.08 dlogz:2.758>0.1]
179it [05:51,  4.82it/s, bound:0 nc:  2 ncall:7.1e+02 eff:25.2% logz-ratio=143.16+/-0.08 dlogz:2.691>0.1]
183it [05:53,  4.20it/s, bound:0 nc:  2 ncall:7.2e+02 eff:25.5% logz-ratio=143.19+/-0.08 dlogz:2.655>0.1]
187it [05:54,  3.84it/s, bound:0 nc:  4 ncall:7.3e+02 eff:25.8% logz-ratio=143.22+/-0.08 dlogz:2.619>0.1]
191it [05:55,  3.72it/s, bound:0 nc:  4 ncall:7.3e+02 eff:26.1% logz-ratio=143.25+/-0.08 dlogz:2.585>0.1]
199it [05:56,  4.30it/s, bound:0 nc:  1 ncall:7.4e+02 eff:26.9% logz-ratio=143.31+/-0.08 dlogz:2.519>0.1]
204it [05:57,  4.23it/s, bound:0 nc:  1 ncall:7.5e+02 eff:27.2% logz-ratio=143.34+/-0.08 dlogz:2.480>0.1]
208it [05:59,  4.01it/s, bound:0 nc:  3 ncall:7.6e+02 eff:27.4% logz-ratio=143.37+/-0.08 dlogz:2.450>0.1]
212it [06:00,  3.79it/s, bound:0 nc:  2 ncall:7.6e+02 eff:27.7% logz-ratio=143.39+/-0.08 dlogz:2.420>0.1]
218it [06:01,  4.15it/s, bound:0 nc:  4 ncall:7.7e+02 eff:28.2% logz-ratio=143.43+/-0.07 dlogz:2.376>0.1]
222it [06:02,  3.95it/s, bound:0 nc:  3 ncall:7.8e+02 eff:28.4% logz-ratio=143.45+/-0.07 dlogz:2.348>0.1]
227it [06:03,  4.09it/s, bound:0 nc:  5 ncall:7.9e+02 eff:28.7% logz-ratio=143.48+/-0.07 dlogz:2.314>0.1]
231it [06:04,  4.00it/s, bound:0 nc:  3 ncall:8.0e+02 eff:28.9% logz-ratio=143.50+/-0.07 dlogz:2.288>0.1]
235it [06:05,  3.80it/s, bound:0 nc:  1 ncall:8.0e+02 eff:29.2% logz-ratio=143.52+/-0.07 dlogz:2.262>0.1]
242it [06:07,  4.16it/s, bound:0 nc:  2 ncall:8.1e+02 eff:29.7% logz-ratio=143.55+/-0.07 dlogz:2.217>0.1]
247it [06:08,  4.33it/s, bound:0 nc:  3 ncall:8.2e+02 eff:30.0% logz-ratio=143.58+/-0.07 dlogz:2.187>0.1]
253it [06:09,  4.66it/s, bound:0 nc:  1 ncall:8.3e+02 eff:30.5% logz-ratio=143.61+/-0.07 dlogz:2.151>0.1]
258it [06:10,  4.66it/s, bound:0 nc:  1 ncall:8.4e+02 eff:30.8% logz-ratio=143.63+/-0.07 dlogz:2.122>0.1]
262it [06:11,  4.18it/s, bound:0 nc:  4 ncall:8.4e+02 eff:31.0% logz-ratio=143.65+/-0.07 dlogz:2.099>0.1]
267it [06:12,  4.21it/s, bound:0 nc:  3 ncall:8.5e+02 eff:31.3% logz-ratio=143.67+/-0.07 dlogz:2.071>0.1]
271it [06:13,  3.98it/s, bound:0 nc:  1 ncall:8.6e+02 eff:31.5% logz-ratio=143.68+/-0.07 dlogz:2.049>0.1]
278it [06:14,  4.50it/s, bound:0 nc:  1 ncall:8.7e+02 eff:32.0% logz-ratio=143.71+/-0.07 dlogz:2.012>0.1]
279it [06:16,  2.03it/s, bound:0 nc:  9 ncall:8.8e+02 eff:31.8% logz-ratio=143.72+/-0.07 dlogz:2.007>0.1]
282it [06:17,  2.08it/s, bound:0 nc:  4 ncall:8.8e+02 eff:31.9% logz-ratio=143.73+/-0.07 dlogz:1.991>0.1]
286it [06:18,  2.38it/s, bound:0 nc:  3 ncall:8.9e+02 eff:32.0% logz-ratio=143.75+/-0.07 dlogz:1.971>0.1]
290it [06:19,  2.66it/s, bound:0 nc:  2 ncall:9.0e+02 eff:32.2% logz-ratio=143.76+/-0.07 dlogz:1.951>0.1]
294it [06:20,  2.89it/s, bound:0 nc:  4 ncall:9.1e+02 eff:32.3% logz-ratio=143.78+/-0.07 dlogz:1.931>0.1]
298it [06:21,  3.04it/s, bound:0 nc:  4 ncall:9.2e+02 eff:32.5% logz-ratio=143.79+/-0.07 dlogz:1.911>0.1]
302it [06:23,  3.17it/s, bound:0 nc:  2 ncall:9.3e+02 eff:32.6% logz-ratio=143.81+/-0.06 dlogz:1.892>0.1]
307it [06:24,  3.44it/s, bound:0 nc:  1 ncall:9.3e+02 eff:32.9% logz-ratio=143.82+/-0.06 dlogz:1.868>0.1]
312it [06:25,  3.65it/s, bound:0 nc:  2 ncall:9.4e+02 eff:33.1% logz-ratio=143.84+/-0.06 dlogz:1.845>0.1]
317it [06:26,  3.78it/s, bound:0 nc:  1 ncall:9.5e+02 eff:33.4% logz-ratio=143.86+/-0.06 dlogz:1.822>0.1]
321it [06:27,  3.76it/s, bound:0 nc:  4 ncall:9.6e+02 eff:33.5% logz-ratio=143.87+/-0.06 dlogz:1.804>0.1]
324it [06:28,  3.24it/s, bound:0 nc:  3 ncall:9.6e+02 eff:33.6% logz-ratio=143.88+/-0.06 dlogz:1.791>0.1]
328it [06:30,  3.25it/s, bound:0 nc:  4 ncall:9.8e+02 eff:33.6% logz-ratio=143.89+/-0.06 dlogz:1.773>0.1]
330it [06:31,  2.56it/s, bound:0 nc:  2 ncall:9.8e+02 eff:33.6% logz-ratio=143.90+/-0.06 dlogz:1.765>0.1]
335it [06:32,  2.92it/s, bound:0 nc:  2 ncall:9.9e+02 eff:33.8% logz-ratio=143.92+/-0.06 dlogz:1.743>0.1]
338it [06:33,  2.80it/s, bound:0 nc:  5 ncall:1.0e+03 eff:33.8% logz-ratio=143.93+/-0.06 dlogz:1.731>0.1]
341it [06:34,  2.70it/s, bound:0 nc:  2 ncall:1.0e+03 eff:33.9% logz-ratio=143.94+/-0.06 dlogz:1.718>0.1]
346it [06:35,  3.05it/s, bound:0 nc:  1 ncall:1.0e+03 eff:34.2% logz-ratio=143.95+/-0.06 dlogz:1.697>0.1]
352it [06:37,  3.53it/s, bound:0 nc:  1 ncall:1.0e+03 eff:34.5% logz-ratio=143.97+/-0.06 dlogz:1.673>0.1]
357it [06:38,  3.77it/s, bound:0 nc:  2 ncall:1.0e+03 eff:34.7% logz-ratio=143.98+/-0.06 dlogz:1.653>0.1]
