
0it [00:00, ?it/s]
1it [05:58, 358.88s/it, bound:0 nc:  1 ncall:5.0e+02 eff:0.2% logz-ratio=-342.21+/-0.17 dlogz:inf>0.1]
9it [06:00, 251.27s/it, bound:0 nc:  1 ncall:5.1e+02 eff:1.8% logz-ratio=-310.60+/-0.16 dlogz:432.010>0.1]
17it [06:01, 175.94s/it, bound:0 nc:  1 ncall:5.2e+02 eff:3.3% logz-ratio=-296.82+/-0.16 dlogz:418.817>0.1]
25it [06:02, 123.21s/it, bound:0 nc:  1 ncall:5.2e+02 eff:4.8% logz-ratio=-280.87+/-0.15 dlogz:402.182>0.1]
33it [06:04, 86.30s/it, bound:0 nc:  1 ncall:5.3e+02 eff:6.2% logz-ratio=-270.44+/-0.15 dlogz:390.957>0.1] 
40it [06:05, 60.46s/it, bound:0 nc:  1 ncall:5.4e+02 eff:7.4% logz-ratio=-263.48+/-0.14 dlogz:383.823>0.1]
48it [06:06, 42.37s/it, bound:0 nc:  1 ncall:5.5e+02 eff:8.7% logz-ratio=-257.18+/-0.13 dlogz:377.013>0.1]
56it [06:08, 29.71s/it, bound:0 nc:  1 ncall:5.6e+02 eff:10.1% logz-ratio=-251.85+/-0.14 dlogz:371.716>0.1]
63it [06:09, 20.85s/it, bound:0 nc:  3 ncall:5.7e+02 eff:11.1% logz-ratio=-249.46+/-0.13 dlogz:369.380>0.1]
69it [06:10, 14.66s/it, bound:0 nc:  1 ncall:5.7e+02 eff:12.0% logz-ratio=-247.23+/-0.13 dlogz:367.188>0.1]
77it [06:12, 10.31s/it, bound:0 nc:  1 ncall:5.8e+02 eff:13.3% logz-ratio=-243.96+/-0.13 dlogz:363.750>0.1]
84it [06:13,  7.27s/it, bound:0 nc:  1 ncall:5.9e+02 eff:14.3% logz-ratio=-242.15+/-0.13 dlogz:361.849>0.1]
92it [06:14,  5.13s/it, bound:0 nc:  1 ncall:6.0e+02 eff:15.4% logz-ratio=-240.51+/-0.12 dlogz:360.105>0.1]
98it [06:15,  3.65s/it, bound:0 nc:  3 ncall:6.0e+02 eff:16.2% logz-ratio=-239.60+/-0.12 dlogz:359.199>0.1]
104it [06:16,  2.61s/it, bound:0 nc:  1 ncall:6.1e+02 eff:17.0% logz-ratio=-238.12+/-0.13 dlogz:357.916>0.1]
112it [06:17,  1.87s/it, bound:0 nc:  1 ncall:6.2e+02 eff:18.0% logz-ratio=-235.48+/-0.13 dlogz:355.310>0.1]
119it [06:18,  1.35s/it, bound:0 nc:  2 ncall:6.3e+02 eff:18.9% logz-ratio=-232.89+/-0.13 dlogz:352.664>0.1]
124it [06:19,  1.01s/it, bound:0 nc:  3 ncall:6.4e+02 eff:19.5% logz-ratio=-231.08+/-0.13 dlogz:350.693>0.1]
130it [06:21,  1.31it/s, bound:0 nc:  1 ncall:6.4e+02 eff:20.2% logz-ratio=-229.06+/-0.14 dlogz:348.932>0.1]
137it [06:22,  1.70it/s, bound:0 nc:  2 ncall:6.5e+02 eff:21.0% logz-ratio=-225.44+/-0.14 dlogz:345.128>0.1]
144it [06:23,  2.17it/s, bound:0 nc:  1 ncall:6.6e+02 eff:21.8% logz-ratio=-222.77+/-0.13 dlogz:342.385>0.1]
148it [06:24,  2.55it/s, bound:0 nc:  4 ncall:6.7e+02 eff:22.1% logz-ratio=-221.36+/-0.13 dlogz:341.114>0.1]
155it [06:25,  3.13it/s, bound:0 nc:  1 ncall:6.8e+02 eff:22.9% logz-ratio=-219.33+/-0.13 dlogz:338.891>0.1]
161it [06:26,  3.71it/s, bound:0 nc:  2 ncall:6.8e+02 eff:23.5% logz-ratio=-216.92+/-0.14 dlogz:336.603>0.1]
167it [06:27,  4.23it/s, bound:0 nc:  1 ncall:6.9e+02 eff:24.1% logz-ratio=-212.96+/-0.14 dlogz:332.817>0.1]
173it [06:28,  4.93it/s, bound:0 nc:  1 ncall:7.0e+02 eff:24.7% logz-ratio=-210.04+/-0.14 dlogz:329.723>0.1]
180it [06:28,  5.60it/s, bound:0 nc:  1 ncall:7.1e+02 eff:25.4% logz-ratio=-206.98+/-0.14 dlogz:326.578>0.1]
