
0it [00:00, ?it/s]
1it [02:13, 133.68s/it, bound:0 nc:  1 ncall:1.0e+03 eff:0.1% logz-ratio=-505.45+/-0.12 dlogz:inf>0.1]
2it [02:13, 93.61s/it, bound:0 nc:  1 ncall:1.0e+03 eff:0.2% logz-ratio=-402.63+/-0.12 dlogz:515.456>0.1]
3it [02:13, 65.56s/it, bound:0 nc:  1 ncall:1.0e+03 eff:0.3% logz-ratio=-274.32+/-0.12 dlogz:412.637>0.1]
5it [02:14, 45.92s/it, bound:0 nc:  1 ncall:1.0e+03 eff:0.5% logz-ratio=-145.19+/-0.12 dlogz:206.714>0.1]
6it [02:14, 32.18s/it, bound:0 nc:  1 ncall:1.0e+03 eff:0.6% logz-ratio=-133.93+/-0.12 dlogz:155.188>0.1]
7it [02:14, 22.56s/it, bound:0 nc:  1 ncall:1.0e+03 eff:0.7% logz-ratio=-97.05+/-0.12 dlogz:143.935>0.1] 
8it [02:14, 15.82s/it, bound:0 nc:  1 ncall:1.0e+03 eff:0.8% logz-ratio=-72.34+/-0.12 dlogz:107.054>0.1]
9it [02:14, 11.11s/it, bound:0 nc:  1 ncall:1.0e+03 eff:0.9% logz-ratio=-63.44+/-0.12 dlogz:82.342>0.1] 
11it [02:14,  7.80s/it, bound:0 nc:  1 ncall:1.0e+03 eff:1.1% logz-ratio=-60.51+/-0.11 dlogz:72.117>0.1]
12it [02:14,  5.50s/it, bound:0 nc:  1 ncall:1.0e+03 eff:1.2% logz-ratio=-59.61+/-0.11 dlogz:70.505>0.1]
13it [02:14,  3.88s/it, bound:0 nc:  1 ncall:1.0e+03 eff:1.3% logz-ratio=-49.47+/-0.12 dlogz:69.608>0.1]
14it [02:15,  2.75s/it, bound:0 nc:  1 ncall:1.0e+03 eff:1.4% logz-ratio=-48.11+/-0.11 dlogz:59.466>0.1]
16it [02:15,  1.95s/it, bound:0 nc:  1 ncall:1.0e+03 eff:1.6% logz-ratio=-38.97+/-0.12 dlogz:54.475>0.1]
17it [02:15,  1.40s/it, bound:0 nc:  1 ncall:1.0e+03 eff:1.7% logz-ratio=-36.29+/-0.12 dlogz:48.963>0.1]
19it [02:15,  1.01s/it, bound:0 nc:  1 ncall:1.0e+03 eff:1.9% logz-ratio=-30.42+/-0.11 dlogz:41.620>0.1]
21it [02:15,  1.36it/s, bound:0 nc:  1 ncall:1.0e+03 eff:2.1% logz-ratio=-29.33+/-0.11 dlogz:39.790>0.1]
22it [02:15,  1.83it/s, bound:0 nc:  1 ncall:1.0e+03 eff:2.2% logz-ratio=-28.93+/-0.10 dlogz:39.312>0.1]
23it [02:15,  2.41it/s, bound:0 nc:  1 ncall:1.0e+03 eff:2.2% logz-ratio=-28.58+/-0.10 dlogz:38.913>0.1]
25it [02:16,  3.14it/s, bound:0 nc:  1 ncall:1.0e+03 eff:2.4% logz-ratio=-26.17+/-0.12 dlogz:38.248>0.1]
